,1993-4,1994-5,1995-6,1996-7,1997-8,1998-9,1999-2000,2000-1,2001-2,2002-3,2003-4
U.S.,,,13.8,13.5,13,12.3,11.5,11.5,11.9,12.3,12.6
Alabama,16.9,18.3,17.1,14.8,15.1,14.8,14.8,14.6,15.2,14.7,16
Alaska,9.7,8.7,7.7,8.5,9.1,8.5,7.9,8.1,8.7,9.2,9.4
Arizona,15.7,16,18.3,18.8,16.9,14.3,12,13.2,14.1,13.5,13.9
Arkansas,17.7,15.1,16.1,18.4,17.2,14.7,16.3,17.1,18.8,18.8,16.4
California,18.1,17.3,16.8,16.8,16,14.6,13.3,12.6,12.8,13.1,13.2
Colorado.,9.5,8.9,9.7,9.4,8.7,8.7,8.2,9.3,9.2,9.7,9.9
Connecticut,9.7,10.3,10.7,10.1,9,8.3,6.8,7.5,7.8,8.2,9.1
Delaware,9.3,9.3,9.5,9.1,10,10.3,9.7,7.6,7.9,8.2,8.2
D.C.,23.8,21.7,23.2,23,22,18.6,14.9,16.7,17.6,16.9,16.7
Florida,16.4,15.6,15.2,14.3,13.7,12.8,11.5,11.8,12.6,12.6,12.2
Georgia.,13.8,13.1,13.5,14.7,14,13.2,12,12.5,12.1,11.5,12.5
Hawaii,8.4,9.5,11.2,13,12.4,10.9,10.4,10.2,11.4,10.3,8.9
Idaho,12.6,13.3,13.2,13.3,13.8,13.5,13.4,12,11.4,10.8,10
Illinois,13,12.4,12.3,11.6,10.6,10,10.7,10.4,11.5,12.7,12.4
Indiana,13,11.7,8.6,8.2,9.1,8,7.7,8.5,8.8,9.5,10.8
Iowa,10.5,11.5,10.9,9.6,9.3,8.3,7.3,7.8,8.3,9.1,9.9
Kansas,14,12.9,11,10.4,9.6,10.9,10.9,9.1,10.1,10.4,11.1
Kentucky,19.5,16.6,15.9,16.4,14.7,12.8,12,12.6,13.4,14.3,16
Louisiana,26.1,22.7,20.1,18.4,17.7,19.1,18.2,16.7,16.9,17.2,16.8
Maine.,12.4,10.3,11.2,10.7,10.2,10.5,9.5,10.2,11.9,12.5,11.6
Maryland,10.2,10.4,10.2,9.3,7.8,7.2,7.4,7.3,7.3,8,9.2
Massachusetts.,10.2,10.4,10.6,11.2,10.4,10.2,10.9,9.4,9.5,10.1,9.7
Michigan,14.8,13.2,11.7,10.7,10.6,10.3,9.8,9.6,10.5,11.5,12.3
Minnesota.,11.7,10.5,9.5,9.7,10,8.8,6.6,6.5,6.9,6.9,7.2
Mississippi,22.3,21.7,22.1,18.6,17.1,16.9,14.5,17.1,18.9,17.2,17.3
Missouri.,15.9,12.5,9.5,10.6,10.8,10.7,9.8,9.4,9.8,10.3,11.5
Montana,13.2,13.4,16.2,16.3,16.1,16.1,15.6,13.7,13.4,14.3,14.6
Nebraska,9.6,9.2,9.9,10,11.1,11.6,9.9,9,10,10.2,9.6
Nevada,10.5,11.1,9.6,9.6,10.8,10.9,9.9,8,8,9.9,10.9
New Hampshire.,8.8,6.5,5.9,7.7,9.4,8.8,6.4,5.5,6.1,5.8,5.6
New Jersey,10.1,8.5,8.5,9.2,8.9,8.2,7.9,7.7,8,8.3,8.3
New Mexico,19.3,23.2,25.4,23.4,20.8,20.5,18.7,17.7,17.9,18,17.3
New York,16.7,16.8,16.6,16.6,16.6,15.4,13.7,14,14.1,14.2,14.6
North Carolina,14.3,13.4,12.4,11.8,12.7,13.8,12.8,12.5,13.4,15,15.1
North Dakota,10.8,11.2,11.5,12.3,14.4,14.1,11.6,12.1,12.7,10.6,9.7
Ohio.,13.6,12.8,12.1,11.8,11.1,11.6,11,10.3,10.1,10.3,11.3
Oklahoma.,18.3,16.9,16.9,15.2,13.9,13.4,14,15,14.6,13.5,11.8
Oregon,11.8,11.5,11.5,11.7,13.3,13.8,11.9,11.3,11.3,11.7,12.1
Pennsylvania,12.9,12.4,11.9,11.4,11.2,10.3,9.1,9.1,9.5,10,10.9
Rhode Island,10.8,10.5,10.8,11.9,12.2,10.7,9.5,9.9,10.3,11.3,11.5
South Carolina.,16.3,16.9,16.5,13.1,13.4,12.7,11.2,13.1,14.7,13.5,13.8
South Dakota,14.4,14.5,13.2,14.1,13.7,9.3,8.7,9.6,10,12.1,13
Tennessee,17.1,15.1,15.7,15.1,13.9,12.7,13.3,13.8,14.5,14.4,15
Texas.,18.3,18.3,17,16.7,15.9,15,14.8,15.2,15.3,16.3,16.7
Utah.,9.4,8.2,8.1,8.3,8.9,7.3,7.6,9.1,10.2,9.5,9.5
Vermont.,8.8,9,11.5,10.9,9.6,9.8,10.5,9.9,9.8,9.2,8.2
Virginia,10.2,10.5,11.3,12.5,10.8,8.4,7.8,8.1,8.9,10,9.7
Washington,11.9,12.1,12.2,10.5,9.1,9.2,9.8,10.8,10.8,11.8,12
West Virginia,20.4,17.7,17.6,17.5,17.1,16.8,14.8,15.6,16.6,17.1,15.8
Wisconsin.,10.8,8.8,8.7,8.5,8.5,8.7,9.1,8.6,8.2,9.2,11
Wyoming,11.3,10.8,12.1,12.7,12.1,11.1,11.3,9.7,8.8,9.4,9.9
